TEMPORADA,EPISODIO,US_VIEWERS
8,6,13.61
8,5,12.48
7,7,12.07
8,3,12.02
8,4,11.80
8,1,11.76
7,5,10.72
8,2,10.29
7,6,10.24
7,4,10.17
7,1,10.11
7,2,9.27
7,3,9.25
6,10,8.89
5,10,8.11
5,1,8.00
6,1,7.94
6,5,7.89
6,4,7.82
6,7,7.80
6,9,7.66
6,8,7.60
6,2,7.29
6,3,7.28
4,7,7.20
4,8,7.17
4,5,7.16
5,9,7.14
4,10,7.09
5,8,7.01
4,9,6.95
4,4,6.95
5,4,6.82
5,2,6.81
5,3,6.71
6,6,6.71
4,1,6.64
4,3,6.59
5,5,6.56
4,6,6.40
4,2,6.31
5,6,6.24
3,6,5.50
5,7,5.40
3,10,5.39
3,5,5.35
3,9,5.22
3,8,5.13
3,4,4.87
3,7,4.84
3,3,4.72
3,1,4.37
3,2,4.27
2,10,4.20
2,5,3.90
2,6,3.88
2,8,3.86
2,1,3.86
2,3,3.77
2,2,3.76
2,7,3.69
2,4,3.65
2,9,3.38
1,10,3.04
1,8,2.72
1,9,2.66
1,5,2.58
1,4,2.45
1,6,2.44
1,3,2.44
1,7,2.40
1,1,2.22
1,2,2.20
